Name,Internal name,Type,Description,Group name,Form field,Options,Read only value,Read only definition,Calculated,External options,Deleted,HubSpot defined,Created user,Usages,Fill rate
AI-Powered Summary,ai_powered_summary,string,,about,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,Properties v3 card (1),1.23%
Contact Persona,contact_persona,enumeration,,about,TRUE,Decision Maker,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
AI-powered summary,aipowered_summary,string,A multi-line text field for storing AI-generated summaries or insights related to the contact,ai-powered_insights,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,1.13%
Communication notes,communication_notes,string,Multi-line notes capturing details about communications with the contact,ai-powered_insights,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Outreach strategy,outreach_strategy,string,"Detailed notes describing the contact's outreach strategy, including messaging approach, channels, and cadence.",ai-powered_insights,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Value drivers,value_drivers,string,"Key factors or reasons that drive value for this contact, captured in multi-line text for detailed explanation.",ai-powered_insights,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Industry Change Flag,industry_change_flag,enumeration,,ai_insights,TRUE,YES; NO,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Lead Source Reason,lead_source_reason,string,,ai_insights,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0.03%
Lead Source Type,lead_source_type,enumeration,,ai_insights,TRUE,referral; inbound; outbound,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
Recent Industry Current,recent_industry_current,string,,ai_insights,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chris Rabenold,,0%
